Canonical_SMILES	Source
O1[C]2O[C]=[C][C]2C2=c3oc4=[C][C]=[C]C(=c4c(=O)c3=C([C]=C12)O)O	PDBQT/dock_0038.pdbqt
o1c2c(c(=O)c3c1[C]=[C][C]=[C]3)[C]=[C][C]=C2O	PDBQT/dock_0039.pdbqt
O1C([C]=[C]C2=C(c3c(oc4=[C][C]=C(C(=c4c3=O)[C][C]=C([C])[C])O)[C]=C12)O)([C])[C]	PDBQT/dock_0040.pdbqt
o1c2c(C(=C(C(=[C]2)O[C])[C][C]=C([C])[C])O)c(=O)c2c1[C]=[C]C(=[C]2)O	PDBQT/dock_0041.pdbqt
o1c2c(c(c(c(c2c(=O)c2=[C][C]=[C]C(=c12)O)O)[C][C]=C([C])[C])O)[C][C]=C([C])[C]	PDBQT/dock_0042.pdbqt
O1C([C]=[C]C2=C(c3c(oc4=[C][C]=C(C(=c4c3=O)[C][C]=C([C])[C])O[C])[C]=C12)O)([C])[C]	PDBQT/dock_0043.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C(C(=C([C]=c12)O[C])[C][C]=C([C])[C])O)[C][C]=C([C])[C])O[C])O[C]	PDBQT/dock_0044.pdbqt
O1[C]2O[C]=[C][C]2C2=c3oc4=[C][C]=[C]C(=c4c(=O)c3=C([C]=C12)O[C])O[C]	PDBQT/dock_0045.pdbqt
o1c2=[C][C]=C([C]=c2c(=O)c2=[C][C]=[C][C]=c12)O	PDBQT/dock_0046.pdbqt
o1c2=[C][C]=C([C]=c2c(=O)c2=[C][C]=[C][C]=c12)O[C]	PDBQT/dock_0047.pdbqt
o1c2C(=C([C]=[C]c2c(=O)c2=[C][C]=[C][C]=c12)O[C])[C]N1[C][C][C][C][C]1	PDBQT/dock_0048.pdbqt
O1[C@]([C][C](C2=[C][C]=c3c(=C12)oc1=C([C]=[C]C(=c1c3=O)O)O)[C]=C([C])[C])([C])/[C]=[C]/C1=C(c2oc3=C([C]=[C][C]=c3c(=O)c2C(=[C]1)O)O)O	PDBQT/dock_0049.pdbqt
O=C(O[C]([C])/[C]=[C]/[C]/C(=[C]/[C]=[C]/[C]=C(\[C])/[C]/[C]=[C]/[C]([C])C(=O)O[C]1O[C]([C]([C]([C]1O)O)O)[C]O)/[C])[C][C]1O[C]([C]([C]([C]1O)O)O)C1=C(c2c(oc3c(c2=O)[C]=C(C(=[C]3)O)O)[C]=C1O)O	PDBQT/dock_0050.pdbqt
o1c2c(C(=C(C3=C([C]=C(C(=C3O)C(=O)C3=[C][C]=[C][C]=[C]3)O)O[C])[C]=C2O)O)c(=O)c2=[C][C]=[C]C(=c12)O	PDBQT/dock_0051.pdbqt
O1[C]([C]([C]([C]([C]1OC1=[C]c2oc3=[C][C]=C([C]=c3c(=O)c2C(=[C]1)O)O[C])O)O)O)[C]O[C]1O[C][C]([C]([C]1O)O)O	PDBQT/dock_0052.pdbqt
o1c2c([C]=C(C(=C2O[C])O)[C][C]=C([C])[C])c(=O)c2=C([C]=[C]C(=c12)O)O	PDBQT/dock_0053.pdbqt
o1c2c(c(c(c(c2[C])O)[C][C]=C([C])[C])O)c(=O)c2=C(C(=[C][C]=c12)[C][C]=C([C])[C])O	PDBQT/dock_0054.pdbqt
o1c2=[C]C(=[C]C(=c2c(=O)c2c1[C]=[C]C(=C2C(=O)O[C])O)O)[C]O	PDBQT/dock_0055.pdbqt
o1c2C(=C([C]=C(c2c(=O)c2c1C(=[C][C]=[C]2)O)O)O)[C]/[C]=C(/[C])\[C][C][C]=C([C])[C]	PDBQT/dock_0056.pdbqt
BrC1=[C][C]=c2oc3=[C]C(=[C]C(=c3c(=O)c2=[C]1)O)O	PDBQT/dock_0057.pdbqt
o1c2c(c(=O)c3=C([C]=[C][C]=c13)C(=O)O[C])C(=[C]C(=[C]2)[C]O)O	PDBQT/dock_0058.pdbqt
O1[C]2OC3=C([C]2[C][C]1)c1oc2=[C][C]=[C]C(=c2c(=O)c1C(=[C]3)O[C])O	PDBQT/dock_0059.pdbqt
O1C([C]=[C]C2=c3oc4=C5C(=C([C]=c4c(=O)c3=C([C]=C12)O)C(=[C])[C])C(=O)C(=[C]C5=O)O[C])([C])[C]	PDBQT/dock_0060.pdbqt
o1c2=C(C(=[C]C(=c2c(=O)c2=[C][C]=[C]C(=c12)O)O)[C][C]=C([C])[C])O	PDBQT/dock_0061.pdbqt
O1C([C]=[C]C2=C1C(=[C]c1oc3=[C]C(=[C]C(=c3c(=O)c21)O)O)O)([C])[C]	PDBQT/dock_0062.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C(C(=C([C]=c12)O[C])[C][C]=C([C])[C])O)[C][C]=C([C])[C])O)O[C]	PDBQT/dock_0063.pdbqt
o1c2c(C(=C(C(=[C]2)O)[C][C]=C([C])[C])O)c(=O)c2=C([C]=[C]C(=c12)O)O	PDBQT/dock_0064.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=[C][C]=C([C]=c12)O)O)[C][C]=C([C])[C])O[C]	PDBQT/dock_0065.pdbqt
o1c2=[C]C(=C(C(=c2c(=O)c2=C([C]=[C]C(=c12)O)O)O)[C][C]=C([C])[C])O[C]	PDBQT/dock_0066.pdbqt
o1c2c(c(=O)c3c1C(=[C][C]=[C]3)O)C(=C([C]=C2O)O)O[C]	PDBQT/dock_0067.pdbqt
o1c2c(c(=O)c3=C(C(=[C][C]=c13)O)[C][C]=C([C])[C])C(=C(C(=[C]2)O)[C][C]=C([C])[C])O	PDBQT/dock_0068.pdbqt
O1C([C][C]C2=c3c(=[C]C(=C12)O[C])oc1=[C]C2=C(C(=c1c3=O)O)[C]=[C]C(O2)([C])[C])([C])[C]	PDBQT/dock_0069.pdbqt
O1C([C]=[C]c2c1c(c1c(oc3c(c1=O)C(=C1C(=[C]3)OC([C]=[C]1)([C])[C])O)c2O)[C][C]=C([C])[C])([C])[C]	PDBQT/dock_0070.pdbqt
O1[C]2O[C]=[C][C]2C2=c3oc4=[C][C]=[C]C(=c4c(=O)c3=C([C]=C12)O[C])O[C]	PDBQT/dock_0071.pdbqt
o1c2c(c(c(c(c2c(=O)c2c1C(=C([C]=[C]2)O)O)O)[C][C]=C([C])[C])O[C])[C][C]=C([C])[C]	PDBQT/dock_0072.pdbqt
O1C(C2=[C]c3c(oc4c(c3=O)C(=[C]C3=C4[C]=[C]C(O3)([C])[C])O)C(=C2C1=O)C(=O)[C])([C])[C]	PDBQT/dock_0073.pdbqt
o1c2=C(C(=[C]C(=c2c(=O)c2C(=[C]C(=C(c12)O)O[C])[C][C]=C([C])[C])O)O[C])[C][C]=C([C])[C]	PDBQT/dock_0074.pdbqt
O1C([C]=[C]c2c1c(c1oc3=C(C(=[C]C(=c3c(=O)c1c2O[C])O)O[C])O[C])O[C])([C])[C]	PDBQT/dock_0075.pdbqt
O1C([C]=[C]C2=C1[C]=c1oc3=C(C(=[C]C(=c3c(=O)c1=C2O)O[C])O[C])O[C])([C])[C]	PDBQT/dock_0076.pdbqt
o1c2=[C][C]=[C]C(=c2c(=O)c2=[C]C(=[C][C]=c12)O)O[C]	PDBQT/dock_0077.pdbqt
o1c2=C([C]=C(C(=c2c(=O)c2c1C(=C([C]=[C]2)O)O)O)C([C])([C])[C]=[C])O	PDBQT/dock_0078.pdbqt
o1c2c(C(=C(C(=[C]2)O)O[C])[C][C]=C([C])[C])c(=O)c2c1[C]=C([C]=C2O)O	PDBQT/dock_0079.pdbqt
o1c2c(C(=C([C]=C2O)C([C])([C])[C]=[C])O)c(=O)c2=[C][C]=C3C(=c12)O[C]=[C]3	PDBQT/dock_0080.pdbqt
O1C([C]([C]C2=C(c3c(oc4=[C]C(=C(C(=c4c3=O)[C][C]=C([C])[C])O[C])O)[C]=C12)O)O)([C])[C]	PDBQT/dock_0081.pdbqt
o1c2c(c(=O)c3=[C][C]=C(C(=c13)O)O)[C]=[C]C(=C2O)O	PDBQT/dock_0082.pdbqt
o1c2=C([C]=[C]C(=c2c(=O)c2=[C][C]=[C]C(=c12)O)O)O	PDBQT/dock_0083.pdbqt
o1c2=C(C(=[C][C]=c2c(=O)c2=C([C]=C([C]=c12)O)O)O)O[C]	PDBQT/dock_0084.pdbqt
o1c2c(c(=O)c3c1[C]=[C]C(=[C]3)O)C(=[C]C(=C2O[C])O[C])O	PDBQT/dock_0085.pdbqt
O1[C]2OC3=[C]C(=c4c(=C3[C]2[C][C]1)oc1=[C][C]=[C]C(=c1c4=O)O)O[C]	PDBQT/dock_0086.pdbqt
o1c2=[C]C(=[C]C(=c2c(=O)c2=[C][C]=[C]C(=c12)O[C])O)O[C]	PDBQT/dock_0087.pdbqt
O1[C]2O[C]=[C][C@]2(C2=C(c3c(oc4C(=[C][C]=C(c4c3=O)O)[C][C]C([C])([C])O)[C]=C12)O)O	PDBQT/dock_0088.pdbqt
o1c2=C([C]=[C]C(=c2c(=O)c2=[C]C(=[C][C]=c12)O)O)O[C]	PDBQT/dock_0089.pdbqt
o1c2c(c(=O)c3c1[C]=C([C]=C3O)O[C])C(=C([C]=[C]2)O[C])O[C]	PDBQT/dock_0090.pdbqt
o1c2=[C][C]=[C]C(=c2c(=O)c2=[C][C]=[C][C]=c12)O	PDBQT/dock_0091.pdbqt
o1c2=[C]C(=[C]C(=c2c(=O)c2c1[C]=[C]C(=C2O)O)O)O[C]	PDBQT/dock_0092.pdbqt
o1c2=C([C]=[C]C(=c2c(=O)c2c1[C]=C([C]=C2O)O)O[C]1O[C]([C]([C]([C]1O)O)O)[C]O)O	PDBQT/dock_0093.pdbqt
o1c2=[C]C(=[C]C(=c2c(=O)c2=C(C(=[C][C]=c12)O)O)O)O	PDBQT/dock_0094.pdbqt
